ticket,type,comment,entry_time,exit_time,entry_price,exit_price,pnl,reason
49,BUY,STACK,2026-01-23 18:44:00,2026-01-23 19:52:00,4964.706999999999,4984.863,20.15600000000086,STACK_TP
50,BUY,STACK,2026-01-23 19:52:00,2026-01-25 23:01:00,4985.163,5019.493,34.33000000000084,STACK_TP
51,BUY,STACK,2026-01-25 23:01:00,2026-01-25 23:54:00,5019.793,5039.765,19.972000000000662,STACK_TP
52,BUY,STACK,2026-01-25 23:54:00,2026-01-26 01:01:00,5040.065,5030.397,-9.667999999999665,STACK_TRAIL_KILL
53,BUY,STACK,2026-01-26 01:03:00,2026-01-26 01:17:00,5039.058,5061.386,22.32800000000043,STACK_TP
54,BUY,STACK,2026-01-26 01:17:00,2026-01-26 01:34:00,5061.686,5083.5650000000005,21.879000000000815,STACK_TP
55,BUY,STACK,2026-01-26 01:34:00,2026-01-26 05:12:00,5083.865,5058.386,-25.47899999999936,STACK_SL
56,BUY,STACK,2026-01-26 05:14:00,2026-01-26 06:01:00,5060.188999999999,5082.162,21.973000000000866,STACK_TP
57,BUY,STACK,2026-01-26 06:01:00,2026-01-26 06:47:00,5082.4619999999995,5107.933,25.47100000000046,STACK_TP
58,BUY,STACK,2026-01-26 06:47:00,2026-01-26 06:58:00,5108.232999999999,5079.901000000001,-28.331999999998516,STACK_SL
59,BUY,STACK,2026-01-26 07:00:00,2026-01-26 08:14:00,5075.839,5095.995000000001,20.15600000000086,STACK_TP
60,BUY,STACK,2026-01-26 08:14:00,2026-01-26 13:02:00,5096.295,5067.028,-29.266999999999825,STACK_SL
61,BUY,STACK,2026-01-26 13:04:00,2026-01-26 14:57:00,5074.503,5094.9220000000005,20.41900000000078,STACK_TP
62,BUY,STACK,2026-01-26 14:57:00,2026-01-26 16:38:00,5095.222,5066.8150000000005,-28.406999999999243,STACK_SL
63,BUY,STACK,2026-01-26 16:40:00,2026-01-26 17:42:00,5077.431,5099.727000000001,22.296000000001186,STACK_TP
