time,open,high,low,close,tick_volume,spread,real_volume,is_near_supply,is_near_demand,distance_to_nearest_supply,distance_to_nearest_demand
2025-12-11 13:30:00,1.17201,1.17294,1.17153,1.1728,1216,8,0,1,1,0.0003410641200545327,2.5579809004071016e-05
2025-12-11 13:45:00,1.1728,1.1736,1.1728,1.17307,931,8,0,1,1,0.0005711509117102546,6.819712378618323e-05
2025-12-11 14:00:00,1.17305,1.17404,1.17298,1.17391,901,8,0,1,1,0.00014481519026160735,0.0006474090858754879
2025-12-11 14:15:00,1.17393,1.17469,1.17393,1.17449,712,8,0,1,1,5.960033716763403e-05,0.0003661163568867597
2025-12-11 14:30:00,1.17452,1.1748,1.1741,1.17434,885,8,0,1,1,7.663879285379318e-05,0.0004938944428359972
2025-12-11 14:45:00,1.17432,1.17438,1.1734499999999999,1.17371,922,8,0,1,1,2.55599764847999e-05,0.0004771195610501026
2025-12-11 15:00:00,1.17372,1.17473,1.17316,1.17461,1031,8,0,1,1,4.256732021682386e-05,0.0002639173853449507
2025-12-11 15:15:00,1.17461,1.17487,1.17423,1.17484,895,8,0,1,1,7.660617616009284e-05,6.809437880890841e-05
2025-12-11 15:30:00,1.17483,1.17513,1.17456,1.17506,750,8,0,1,1,0.00011063264854557511,6.808162987428728e-05
2025-12-11 15:45:00,1.17505,1.17568,1.17497,1.17557,768,8,0,1,1,0.00031474093418510296,4.2532558673565565e-05
2025-12-11 16:00:00,1.17557,1.17592,1.17516,1.17581,765,8,0,1,1,0.00037421011898180486,0.00011906685603969093
2025-12-11 16:15:00,1.17581,1.17593,1.1746699999999999,1.17468,714,8,0,1,1,0.00010215548064144956,0.00020431096128308815
2025-12-11 16:30:00,1.1746699999999999,1.1751800000000001,1.17459,1.17488,632,8,0,1,1,4.255753779118337e-05,3.40460302329089e-05
2025-12-11 16:45:00,1.17488,1.17568,1.17488,1.1755,624,8,0,1,1,0.0002552105487026516,1.701403658029011e-05
2025-12-11 17:00:00,1.17549,1.17624,1.17548,1.1758899999999999,679,8,0,1,1,0.0003061510855608416,0.0001870923300647909
2025-12-11 17:15:00,1.1758899999999999,1.1762,1.17563,1.17569,595,8,0,1,1,0.00041677653122836755,1.701128698883973e-05
2025-12-11 17:30:00,1.1757,1.1757,1.17494,1.17561,632,8,0,1,1,0.0003487551143661771,5.1037333809638384e-05
2025-12-11 17:45:00,1.17561,1.17571,1.17536,1.17547,446,8,0,1,1,0.0002296953559001867,4.253617701864405e-05
2025-12-11 18:00:00,1.17546,1.1758,1.17529,1.1755,386,8,0,1,1,0.0002552105487026516,1.701403658029011e-05
2025-12-11 18:15:00,1.1755,1.17591,1.1751800000000001,1.17538,456,8,0,1,1,0.00015314196259938828,3.4031547244329496e-05
2025-12-11 18:30:00,1.17538,1.17547,1.17507,1.17545,415,8,0,1,1,0.00021268450380712364,5.955166106598706e-05
2025-12-11 18:45:00,1.17545,1.17551,1.17522,1.17531,345,8,0,1,1,9.359232883243952e-05,2.5525180590630974e-05
2025-12-11 19:00:00,1.17531,1.17531,1.1746699999999999,1.17492,428,8,0,1,1,8.511217785096442e-06,0.0
2025-12-11 19:15:00,1.17492,1.17533,1.17475,1.17526,324,8,0,1,1,5.1052533056471744e-05,6.807004407542162e-05
2025-12-11 19:30:00,1.17526,1.17529,1.17465,1.17468,355,8,0,1,1,0.00010215548064144956,0.00020431096128308815
2025-12-11 19:45:00,1.1746699999999999,1.17478,1.17401,1.17408,485,8,0,1,1,0.00011924230035434467,0.0007154538021258789
2025-12-11 20:00:00,1.17408,1.17408,1.17363,1.1738,518,8,0,1,1,5.1116033395765025e-05,0.0005537570284546256
2025-12-11 20:15:00,1.17381,1.17433,1.17376,1.17433,322,8,0,1,1,6.81239515298766e-05,0.0005024141425322255
2025-12-11 20:30:00,1.17433,1.17454,1.17413,1.1743000000000001,347,8,0,1,1,4.257855743856383e-05,0.0005279741122369435
2025-12-11 20:45:00,1.1743000000000001,1.17445,1.17404,1.17408,245,8,0,1,1,0.00011924230035434467,0.0007154538021258789
2025-12-11 21:00:00,1.17407,1.1743000000000001,1.17394,1.1743000000000001,262,8,0,1,1,4.257855743856383e-05,0.0005279741122369435
2025-12-11 21:15:00,1.17429,1.1743000000000001,1.1739600000000001,1.17415,211,8,0,1,1,5.9617595707545455e-05,0.0006557935527828108
2025-12-11 21:30:00,1.17416,1.17416,1.17393,1.17404,194,8,0,1,1,0.00015331675241053882,0.0007495485673401179
2025-12-11 21:45:00,1.17404,1.17404,1.17356,1.17356,295,8,0,1,1,0.00015337946078604334,0.00034936432734587194
2025-12-11 22:00:00,1.17357,1.1738,1.17354,1.17368,96,20,0,1,1,5.112125962779376e-05,0.0004515711267126827
2025-12-11 22:15:00,1.17367,1.17375,1.1736,1.17373,79,48,0,1,1,8.519846983603991e-06,0.0004941511250458155
2025-12-11 22:30:00,1.17374,1.17393,1.17367,1.17367,119,20,0,1,1,5.964197772799381e-05,0.0004430546916936413
2025-12-11 22:45:00,1.17367,1.17394,1.17363,1.17394,107,8,0,1,1,0.00017036645825168064,0.000672947510094271
2025-12-11 23:00:00,1.17394,1.17417,1.17385,1.17397,205,8,0,1,1,0.00019591642035141654,0.0006984846290791442
2025-12-11 23:15:00,1.17397,1.174,1.17392,1.17395,118,8,0,1,1,0.0001788832573789714,0.0006814600281103402
2025-12-11 23:30:00,1.1739600000000001,1.1739600000000001,1.1736900000000001,1.17382,164,8,0,1,1,6.815354994810108e-05,0.0005707859808149209
2025-12-11 23:45:00,1.17382,1.1740599999999999,1.17381,1.17404,134,8,0,1,1,0.00015331675241053882,0.0007495485673401179
