Time,Type,Entry,Exit,PnL
2025-12-06 13:25:00,SELL_SL,89430.243,89520.42589285715,-91.38289285714855
2025-12-07 00:50:00,SELL_TP,89399.568,89191.83814285714,206.5298571428546
2025-12-07 03:15:00,SELL_SL,89323.021,89483.01089285713,-161.18989285713468
2025-12-07 03:55:00,BUY_SL,89388.977,89244.33157142857,-145.84542857142804
2025-12-07 15:10:00,BUY_SL,89398.5,89279.15282142858,-120.54717857142096
2025-12-08 09:35:00,BUY_TP,90880.937,91689.13871428573,807.0017142857221
2025-12-08 16:30:00,SELL_SL,91433.523,91715.0499642857,-282.72696428570197
2025-12-09 17:50:00,BUY_TP,91523.258,92662.13600000001,1137.6780000000115
2025-12-10 20:35:00,BUY_TP,91992.844,92684.17492857143,690.1309285714349
2025-12-11 09:25:00,BUY_SL,90184.461,90030.64575,-155.01524999999964
2025-12-11 11:15:00,BUY_TP,89995.984,90279.9627142857,282.77871428570944
2025-12-11 14:10:00,BUY_SL,90175.273,90071.43217857143,-105.0408214285737
2025-12-11 16:30:00,SELL_TP,90149.008,89780.75135714286,367.0566428571445
2025-12-11 21:35:00,BUY_TP,90657.617,91445.83207142857,787.0150714285671
2025-12-11 23:00:00,BUY_TP,90974.883,91796.94535714286,820.8623571428586
2025-12-12 00:15:00,BUY_SL,93182.203,92712.53392857143,-470.86907142856506
2025-12-12 02:55:00,BUY_SL,92182.672,91720.77914285715,-463.09285714285505
2025-12-12 10:20:00,BUY_SL,92358.273,92218.90617857143,-140.5668214285717
2025-12-12 16:50:00,SELL_SL,92233.063,92466.77146428572,-234.90846428572257
2025-12-16 06:45:00,SELL_TP,85743.203,85298.16457142857,443.83842857142446
2025-12-16 12:35:00,BUY_TP,86180.57,86514.02364285715,332.2536428571446
2025-12-17 06:50:00,BUY_SL,87229.25,86653.08917857142,-577.3608214285807
2025-12-17 18:15:00,BUY_SL,87633.109,86592.88814285713,-1041.4208571428637
2025-12-18 05:25:00,BUY_SL,86549.969,86262.15821428571,-289.0107857142895
2025-12-18 13:10:00,BUY_SL,87262.875,87066.53571428571,-197.53928571428986
2025-12-19 04:50:00,SELL_SL,85508.641,85865.65942857142,-358.21842857142036
2025-12-19 09:10:00,BUY_TP,87058.859,88149.50642857142,1089.4474285714211
2025-12-19 16:30:00,BUY_SL,87955.406,87711.69521428572,-244.9107857142837
2025-12-19 20:25:00,SELL_SL,86881.148,87402.93489285714,-522.9868928571407
2025-12-20 15:00:00,BUY_TP,88137.336,88262.40985714285,123.87385714285192
2025-12-20 23:20:00,BUY_TP,88170.703,88328.63842857142,156.73542857142166
2025-12-21 09:40:00,BUY_SL,88059.172,88001.98353571429,-58.38846428571851
2025-12-21 12:30:00,BUY_SL,88803.578,88577.95678571428,-226.82121428571116
2025-12-23 21:25:00,BUY_SL,87962.031,87638.25546428571,-324.9755357142887
2025-12-24 03:00:00,SELL_SL,87381.094,87629.98096428571,-250.0869642857171
2025-12-24 21:15:00,BUY_SL,87434.477,87292.43160714285,-143.24539285715144
2025-12-25 00:10:00,BUY_TP,87608.234,87789.13635714285,179.7023571428552
