time,open,high,low,close,tick_volume,spread,real_volume,is_near_supply,is_near_demand,distance_to_nearest_supply,distance_to_nearest_demand,bayesian_probability,composite_zone_score,high_prob_zone
2025-12-12 20:00:00,1.17399,1.17463,1.17397,1.17446,413,8,0,1,0,0.00017880557873409353,0.0014304446298725592,0.99,0.7473043160209429,1
2025-12-12 20:15:00,1.17447,1.17449,1.1741,1.1742,276,8,0,1,0,8.516436722930942e-06,0.0012093340146482514,0.99,0.7479942141944069,1
2025-12-12 20:30:00,1.1742,1.1743999999999999,1.1741,1.17423,248,8,0,1,0,1.703243827862427e-05,0.0012348517752060271,0.99,0.7473043160209429,1
2025-12-12 20:45:00,1.17423,1.17431,1.17366,1.17391,839,8,0,0,0,0.00025555621810868545,0.0009625950882095522,0.99,0.0,0
2025-12-12 21:00:00,1.17389,1.17446,1.1738,1.17429,234,8,0,1,0,3.4063136022651986e-05,0.0012858833848539307,0.99,0.7473043160209429,1
2025-12-12 21:15:00,1.17427,1.17433,1.17394,1.17397,158,8,0,0,0,0.00020443452558414438,0.0010136545226879941,0.99,0.0,0
2025-12-12 21:30:00,1.17395,1.17429,1.17389,1.17414,189,8,0,1,0,5.9618103462972474e-05,0.001158294581566106,0.99,0.7479942141944069,1
2025-12-12 21:45:00,1.17414,1.17421,1.17381,1.1739600000000001,267,8,0,0,0,0.00021295444478505352,0.0010051449793861637,0.99,0.0,0
2025-12-14 22:00:00,1.17378,1.17378,1.17322,1.17354,105,48,0,1,0,4.260613187440008e-05,0.0006476132044924706,0.99,0.7474406991857608,1
2025-12-14 22:15:00,1.17355,1.1736,1.1735,1.17359,113,48,0,1,0,0.0,0.0006901899300436928,0.99,0.7474406991857608,1
2025-12-14 22:30:00,1.17356,1.17362,1.17343,1.17348,164,48,0,1,0,9.373828271451788e-05,0.0005965163445479641,0.99,0.7474406991857608,1
2025-12-14 22:45:00,1.17347,1.17359,1.17347,1.17351,104,48,0,1,0,6.817155371480256e-05,0.0006220654276487797,0.99,0.7474406991857608,1
2025-12-14 23:00:00,1.17364,1.17395,1.17352,1.17389,264,8,0,0,0,0.0002555605721150951,0.0009455741168253979,0.99,0.0,0
2025-12-14 23:15:00,1.1739,1.17402,1.17379,1.17387,195,8,0,0,0,0.00023852726451826692,0.0009285525654459483,0.99,0.0,0
2025-12-14 23:30:00,1.17386,1.174,1.17373,1.17393,147,8,0,0,0,0.00023851507330084246,0.000979615479628244,0.99,0.0,0
2025-12-14 23:45:00,1.17393,1.17399,1.17362,1.17366,172,8,0,1,0,5.964248589882462e-05,0.0007497912512993473,0.99,0.7474406991857608,1
2025-12-15 00:00:00,1.17368,1.17368,1.17317,1.17318,289,8,0,1,0,0.00013638145894060417,0.000340953647351605,0.99,0.7465937230933395,1
