entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,bars_in_trade,month
2026-01-15 04:45:00,2026-01-15 07:15:00,BUY,1.16344,1.16294,-0.49999999999994493,SL,10,2026-01
2026-01-15 06:00:00,2026-01-15 07:15:00,BUY,1.16337,1.16287,-0.49999999999994493,SL,5,2026-01
2026-01-15 07:00:00,2026-01-15 07:15:00,BUY,1.16311,1.1626100000000001,-0.49999999999994493,SL,1,2026-01
2026-01-16 15:30:00,2026-01-16 15:45:00,BUY,1.15894,1.15974,0.7999999999999119,TP,1,2026-01
2026-01-19 17:45:00,2026-01-20 00:00:00,SELL,1.1645699999999999,1.16377,0.7999999999999119,TP,25,2026-01
2026-01-19 18:00:00,2026-01-19 23:15:00,SELL,1.16477,1.1639700000000002,0.7999999999999119,TP,21,2026-01
2026-01-19 18:15:00,2026-01-19 23:30:00,SELL,1.1647,1.1639000000000002,0.7999999999999119,TP,21,2026-01
2026-01-19 18:30:00,2026-01-20 00:00:00,SELL,1.1645,1.1637000000000002,0.7999999999999119,TP,22,2026-01
2026-01-19 19:00:00,2026-01-19 23:30:00,SELL,1.16462,1.16382,0.7999999999999119,TP,18,2026-01
2026-01-19 19:15:00,2026-01-19 23:30:00,SELL,1.16461,1.16381,0.7999999999999119,TP,17,2026-01
2026-01-20 00:30:00,2026-01-20 01:00:00,BUY,1.16336,1.1641599999999999,0.7999999999999119,TP,2,2026-01
2026-01-21 23:15:00,2026-01-21 23:30:00,BUY,1.16765,1.1671500000000001,-0.49999999999994493,SL,1,2026-01
2026-01-21 23:30:00,2026-01-22 00:30:00,BUY,1.16745,1.16825,0.7999999999999119,TP,4,2026-01
2026-01-22 00:00:00,2026-01-22 00:30:00,BUY,1.1678,1.1685999999999999,0.7999999999999119,TP,2,2026-01
2026-01-22 00:15:00,2026-01-22 00:30:00,BUY,1.16775,1.16855,0.7999999999999119,TP,1,2026-01
2026-01-22 04:00:00,2026-01-22 05:15:00,SELL,1.1696,1.1688,0.7999999999999119,TP,5,2026-01
2026-01-22 20:00:00,2026-01-22 20:45:00,SELL,1.17466,1.17516,-0.49999999999994493,SL,3,2026-01
2026-01-22 20:15:00,2026-01-22 20:45:00,SELL,1.17466,1.17516,-0.49999999999994493,SL,2,2026-01
2026-01-22 20:45:00,2026-01-22 21:15:00,SELL,1.17487,1.17537,-0.49999999999994493,SL,2,2026-01
2026-01-22 21:00:00,2026-01-22 21:15:00,SELL,1.17485,1.17535,-0.49999999999994493,SL,1,2026-01
2026-01-23 08:15:00,2026-01-23 08:30:00,BUY,1.17309,1.1738899999999999,0.7999999999999119,TP,1,2026-01
2026-01-23 10:00:00,2026-01-23 11:45:00,BUY,1.1731,1.1739,0.7999999999999119,TP,7,2026-01
2026-01-23 10:15:00,2026-01-23 11:45:00,BUY,1.17317,1.17397,0.7999999999999119,TP,6,2026-01
2026-01-23 15:15:00,2026-01-23 15:45:00,SELL,1.17495,1.1754499999999999,-0.49999999999994493,SL,2,2026-01
